inning,estimated_woba_using_speedangle,outs_when_up,Swing
1,0.044,1,0
2,0.556,1,0
2,0.029,1,0
1,0.498,1,1
1,0.113,1,0
1,0.003,1,0
1,0.075,0,0
1,0.013,0,0
5,0.751,2,
6,0.243,0,0
7,0.085,1,1
6,1.171,0,0
5,0.484,1,0
5,0.017,2,
5,0.006,1,0
4,0.06,1,
5,0.484,2,
4,0.193,2,
3,0.283,2,
4,0.052,0,0
4,0.113,1,0
4,0.012,2,
4,0.464,2,
3,0.092,2,
4,0.139,2,
4,0.219,2,
4,0.057,1,1
4,0,0,0
3,0.488,1,1
3,0.048,1,0
4,0.138,2,
3,0.525,1,0
2,0.859,2,
3,0.214,1,0
2,0.134,1,0
4,0.028,0,1
2,0.131,0,0
3,0.008,0,0
3,0.138,1,0
2,0.003,2,
1,0.441,2,
2,0.28,1,0
2,0.013,0,0
1,0.093,2,
1,0.537,1,0
1,0,0,0
1,0.021,1,0
1,0.237,1,1
1,0.057,0,0
1,0.003,0,0
7,0.01,2,
7,0.119,2,
5,0.183,2,
6,0.72,1,0
5,0.098,0,0
5,0.187,2,
5,0.578,1,0
4,0.01,1,0
4,0.005,0,0
4,0.046,1,0
6,0.719,0,0
4,0.067,0,0
5,0.141,1,0
5,0.057,0,0
5,0.023,0,0
3,0.017,0,1
4,0.126,0,0
4,0.355,1,1
4,0.059,1,0
3,0.062,2,
3,0.003,1,0
3,0.018,0,1
3,0.864,0,1
3,0.214,2,
3,0.51,1,0
3,0.003,0,0
2,0.044,2,
2,,2,
2,0.452,0,0
2,0.339,0,0
2,0.17,0,0
2,0.018,0,0
1,0,2,
2,0.464,1,0
1,0.296,1,0
1,0.28,2,
1,0.139,0,1
1,0.009,0,0
5,0.428,0,0
6,0.025,1,0
6,0.006,2,
7,0.629,1,0
6,0.801,0,0
4,0.003,0,0
5,0.031,1,1
5,0.734,0,0
6,0.781,1,0
5,0,2,
4,0.025,1,0
3,0.084,2,
6,0.047,0,0
6,0.82,0,0
3,0.323,2,
3,0.014,1,1
3,0.005,2,
4,0.044,0,1
2,0.387,2,
2,0.098,1,0
3,0.583,1,0
2,0.58,0,0
2,0.014,0,0
2,0.73,1,0
1,0.137,2,
2,0.093,0,0
1,0.034,2,
2,0.011,0,0
1,0.225,1,0
1,0.147,1,0
2,0.004,0,0
1,0.152,2,
1,0.152,2,
1,1.421,1,0
1,0.095,1,0
1,0.123,0,0
1,0.018,0,0
9,0.432,2,
9,0.325,2,
6,0.469,0,
5,0.047,1,1
9,0.383,0,0
5,0.039,2,
5,0.105,2,
4,0,1,1
3,0.495,0,1
4,0.337,2,
6,0.01,1,1
4,0.074,2,
3,0.231,0,0
4,0.655,0,0
5,0.095,0,0
