inning,estimated_woba_using_speedangle,outs_when_up,Swing
2,0.004,0,0
1,0.133,2,
1,0.016,2,
1,0.197,1,1
1,0.538,1,1
1,0.121,1,0
1,0.617,0,1
1,0.977,2,
1,0.006,1,0
1,0.842,0,0
1,0.733,0,0
1,0.009,0,0
6,0.029,1,0
5,0.164,2,
6,0,0,0
5,0.202,2,
6,0.084,1,1
6,0.597,0,0
4,0.046,1,1
4,0.003,2,
5,0.28,0,0
4,0.003,2,
4,0.324,0,0
2,0.003,1,0
2,0.489,2,
2,0.09,0,0
2,0.26,0,0
1,0.505,2,
1,0.113,2,
1,0.99,1,0
1,0.491,1,1
1,0.01,1,0
1,0.637,1,0
1,0.332,0,0
7,0.054,1,1
7,0.151,0,0
6,0.141,2,
4,0.051,0,0
5,0.069,0,0
5,0.083,0,0
5,0.705,0,0
4,0.191,2,
5,0.486,2,
4,0.006,0,0
4,0.073,0,0
3,0.074,1,0
3,0.005,0,1
3,0.219,1,0
4,0.09,0,0
2,0.306,2,
3,0.02,1,0
3,0.163,0,1
2,0.517,2,
3,0.203,0,0
2,0.009,0,0
2,0.409,0,0
3,0.496,1,0
2,0.006,1,0
3,0.423,0,0
2,0.27,2,
1,0.391,2,
1,0.617,2,
1,0.021,1,0
1,0.065,2,
1,0.911,1,1
1,0.391,0,0
1,0.087,0,0
1,0.011,0,0
4,0.556,2,
5,0.009,0,1
3,0.093,2,
4,0.094,2,
4,0.37,1,0
3,0.257,2,
4,0.985,2,
3,0.003,1,1
2,0.024,2,
4,0.009,0,1
3,0.679,0,0
3,0.005,0,0
3,0.074,1,1
3,0.014,2,
2,0.003,2,
3,0.003,1,0
1,0.087,2,
2,0,2,
2,0.003,2,
2,,1,0
2,0.433,0,0
1,0.539,1,0
2,0.072,0,1
2,0.208,0,0
1,0.401,1,1
1,0.014,2,
2,0.148,0,0
1,0.044,1,0
1,0.008,1,0
1,0.012,0,1
5,0.298,1,0
7,0.292,2,
7,0.01,1,0
6,0.044,1,0
6,0.01,0,0
4,0.01,1,0
5,0.208,2,
4,0.125,0,1
6,0.504,1,1
4,0.153,0,0
4,0.088,1,0
4,1.125,0,1
5,0.133,2,
4,0.077,0,0
4,0.098,0,0
4,0.178,0,0
4,0.36,0,0
4,0.615,1,0
4,0.064,0,0
3,0.264,2,
3,0.136,1,
3,0.01,0,0
3,0.231,2,
3,0.55,2,
3,0.033,0,0
2,0.067,2,
3,0.355,1,0
2,0.226,0,0
2,0.118,0,0
2,0.18,0,0
2,0.036,0,0
1,0.265,1,1
1,0.165,2,
1,0.265,0,0
1,1.478,1,0
1,0.03,1,0
1,0.011,0,0
7,0.118,0,0
6,0.718,2,
6,0.507,1,1
6,0.172,2,
6,0.203,0,0
5,0.021,1,1
5,0.003,2,
4,0.088,2,
4,0.131,1,0
4,0.003,0,0
6,0.022,2,
5,0.253,0,0
4,0.105,0,0
3,0.005,2,
4,0.049,1,1
4,0.017,0,1
4,0.202,1,0
5,0.041,1,0
6,0.259,0,0
3,0,0,0
4,0.221,0,0
4,0.014,1,0
4,0.485,0,0
2,0.225,0,0
4,0.078,1,0
3,0.09,1,1
2,0.155,2,
3,0.018,1,0
2,0.056,2,
2,0.201,1,1
2,0.075,0,1
3,0.111,0,0
3,0.095,1,0
1,1.374,2,
2,0.825,2,
1,0.005,1,0
1,0.054,2,
1,0.669,2,
1,0.572,2,
1,0.003,1,0
1,0.02,1,1
1,1.046,0,0
1,0.857,1,0
1,0.003,0,0
1,0.309,0,0
1,0.642,0,0
8,1.238,2,
6,0.637,0,0
7,0.886,2,
8,0.129,1,0
8,0.041,1,0
7,0,0,0
4,0.162,2,
6,0.025,1,0
4,0.01,2,
5,0.042,0,0
4,0.3,1,1
5,0.025,1,0
5,0.011,0,1
4,0.637,2,
3,0.697,1,0
4,0.049,2,
3,0.099,2,
5,0.901,1,0
4,0.535,0,1
5,0.064,1,0
5,0.102,1,0
3,0.132,2,
4,0.366,2,
4,0.247,2,
3,0.397,2,
4,0.248,0,0
3,1.052,0,1
3,0.866,2,
3,0.085,2,
3,0.411,2,
2,0.187,2,
3,0.004,0,0
2,0.003,1,0
2,0.445,0,1
2,0.014,2,
2,0.008,1,0
1,0.076,2,
2,0.007,0,0
1,0.165,2,
2,0.003,0,0
1,0.292,2,
1,0.113,2,
1,0.003,1,0
1,0.015,1,1
1,0.105,0,0
7,0.031,1,1
6,0.123,1,1
6,0.443,1,0
4,0.116,1,0
6,0.063,0,1
4,0.079,2,
5,0.051,0,0
4,0.021,0,0
5,0.014,1,0
4,0.094,1,1
4,0.367,1,0
3,0.083,0,0
3,0.516,2,
3,0.19,1,0
2,0.514,1,0
1,0.015,2,
2,0.127,2,
1,0.005,2,
1,,0,0
5,0.059,1,0
7,0.087,0,0
5,0.519,2,
6,0.367,0,1
5,0.034,0,0
4,0.052,1,
4,0.113,1,0
5,0.1,2,
5,0.658,1,1
5,0.408,1,0
5,0.201,2,
3,0.311,0,0
5,0.068,0,0
4,0.003,0,1
5,0.025,0,0
4,0.481,0,0
2,0.029,2,
4,0.302,0,0
2,0.066,2,
3,0.607,0,0
3,0.09,1,0
1,0.003,1,1
2,0.346,1,0
2,0.575,2,
2,0.42,0,0
1,0.567,2,
1,0.62,2,
1,0.198,2,
1,0.108,2,
5,0.03,1,0
7,0.132,0,0
5,0.544,2,
5,0.144,2,
6,0.07,0,0
7,0.129,1,1
7,0.049,2,
5,0.763,2,
7,0.003,0,0
5,0.579,0,1
4,0.047,1,0
6,0.03,0,0
5,0.083,0,0
4,0.132,2,
4,0.095,0,0
2,0.032,1,0
4,0.283,1,0
3,0.003,2,
4,0.022,0,0
3,0.077,0,0
3,0.499,0,0
3,0.051,2,
2,0.511,2,
2,0.115,2,
3,0.057,1,0
1,0.328,2,
2,0.003,1,0
2,0.813,1,0
2,0.114,2,
1,0.012,0,1
1,0.255,2,
1,0.275,1,0
1,0.383,1,0
1,0.505,1,1
1,0.115,1,1
1,0.172,1,0
1,0.484,0,0
1,0.054,0,0
1,0.273,0,1
1,0.082,0,0
6,0.024,1,0
4,0.464,2,
5,0.024,1,
6,0.008,0,0
5,0.134,2,
4,0.051,2,
4,0.045,1,0
3,0.305,1,0
6,0.062,0,0
5,0.025,1,0
4,0.597,1,1
4,0.803,1,
3,0.074,1,0
5,0.071,0,0
3,0.005,1,1
2,0.395,2,
3,0.145,0,0
4,0.003,2,
4,0.051,0,0
4,0.21,0,0
2,0.022,1,0
3,0.003,0,0
1,0.329,1,0
3,0.496,2,
3,0.357,1,1
1,0.062,2,
3,0.469,1,0
2,0.28,1,0
1,0.183,2,
2,0.072,1,0
1,0.003,2,
2,0.015,0,0
1,0.054,2,
1,0.204,1,0
1,0.522,0,0
1,0.039,1,0
1,0.801,0,0
1,0.021,0,0
1,0.03,0,0
1,0.226,0,0
5,0.055,1,0
5,0.422,0,0
5,0.382,1,0
6,0.187,0,0
4,0.663,1,0
4,0.1,2,
4,0.592,0,0
5,0.085,2,
3,0.011,2,
4,0.467,1,0
4,0.234,1,0
3,0.071,0,1
2,0.006,2,
3,0.216,0,1
2,0.285,2,
2,0.62,2,
2,0.217,0,0
3,0.003,0,0
2,0.19,1,0
1,0.022,2,
2,0.007,0,0
2,0.24,0,0
1,0.012,0,0
1,0.005,0,0
7,0.206,2,
7,0.003,0,0
6,0.378,2,
5,0.198,1,0
5,0.259,1,0
3,0.115,2,
6,0.077,0,0
4,0.065,2,
6,0.147,1,1
4,0.125,2,
4,0.293,2,
5,0.305,1,1
5,0.141,0,0
4,0.121,2,
4,0.053,2,
3,0.09,0,0
4,0.049,0,0
4,0.005,0,1
3,0.569,2,
3,0.031,2,
5,0.256,1,0
3,0.063,1,1
4,0.021,2,
4,0.015,2,
4,0.075,1,0
4,0.036,0,1
3,0.006,1,0
3,0.155,2,
3,0.023,1,0
3,0.383,1,0
2,0.267,2,
2,0.021,2,
2,0.082,2,
2,0.012,2,
2,0.246,1,0
3,0.05,0,0
2,0.795,1,0
1,0.085,2,
1,0.072,2,
1,0.01,1,0
1,0.125,1,0
1,0.087,1,0
1,0.037,1,0
1,0.065,0,0
7,0.519,2,
6,0.046,2,
6,0.03,1,0
7,0.017,1,0
6,0.321,0,0
4,0.165,2,
7,0.49,0,0
5,0.01,1,0
6,0.122,1,0
5,0.258,0,0
4,0.065,0,1
5,0.126,1,0
5,0.004,0,1
5,0.003,1,0
6,0.138,2,
4,0.04,2,
6,0.047,0,0
5,0.017,2,
5,0.08,2,
4,0.051,2,
4,0.097,2,
4,0.876,1,1
5,0.531,1,1
4,0.121,0,0
5,0.738,2,
5,0.547,0,0
4,0.364,0,0
4,0.108,0,0
3,0.195,1,1
4,0,0,0
3,0.164,1,0
4,0.103,0,0
3,0.085,0,0
3,0.069,2,
2,0.397,2,
3,0.273,1,0
3,0.059,1,0
1,0.059,2,
2,0.254,1,0
1,0.409,2,
2,0,0,0
1,0.005,2,
2,0.396,1,0
1,0.012,2,
1,0.628,1,0
1,0.003,1,1
1,0.824,1,0
1,0.726,0,0
7,0.686,1,0
6,0.35,2,
6,0.003,0,0
5,0.076,2,
7,0.047,0,0
4,0.17,0,0
5,0.211,2,
5,0.567,2,
6,0.005,1,0
5,0.363,2,
4,0.423,1,0
4,0,2,
5,0.157,0,0
5,0.409,2,
5,0.887,0,0
4,0.008,2,
4,0.056,0,0
4,0.201,2,
2,0.1,2,
4,0.188,0,0
3,0.106,2,
4,0.236,0,0
4,0.777,0,0
3,0.399,0,1
3,0.12,0,0
3,0.057,1,0
2,0.087,1,0
2,0.041,2,
3,0.08,1,0
2,0.025,0,0
1,0.597,2,
1,0.16,2,
2,0.025,0,0
1,0.005,2,
1,0.025,1,0
1,0.107,0,0
6,0.126,2,
6,0.039,2,
5,0.005,2,
6,0.098,2,
7,0.11,2,
6,0.028,0,0
5,0.021,2,
6,0.225,0,0
5,0.167,2,
6,0.117,1,0
5,0.579,0,0
5,0.137,1,0
5,0.211,1,1
4,0.059,1,1
4,0.057,0,0
5,0.385,0,0
4,0.166,0,0
4,0.307,1,0
5,0.7,0,0
3,0.016,0,0
3,0.003,2,
3,0.253,2,
3,0.211,2,
4,0.054,0,0
4,0.006,0,0
4,0.243,1,1
3,0.977,1,0
4,0.08,0,0
2,0.01,2,
3,0.237,0,0
2,0.091,1,1
2,0.005,0,0
2,0.341,1,0
2,0.039,0,1
1,0.649,2,
1,0,1,0
1,0.572,1,0
1,0.144,1,0
1,0.005,1,1
1,0.008,0,0
1,0.005,0,0
5,0.003,2,
6,0.775,2,
6,0.26,0,0
6,0.041,0,0
5,0.134,1,0
6,0.028,0,0
6,0.094,0,0
6,0.159,1,1
5,0.341,2,
5,0.09,1,1
5,0.569,1,1
6,0.426,0,0
4,0.08,2,
5,0.153,2,
4,0.152,1,0
5,0.319,0,0
4,0.25,2,
5,0.237,0,0
3,0.072,1,0
3,0.051,1,0
3,0.456,0,1
5,0.01,0,0
3,0.003,0,0
3,0.009,1,1
2,0.239,2,
3,0.134,1,0
2,0.036,0,0
2,0.096,0,0
1,0.091,2,
2,0.073,0,0
2,0.574,0,0
1,0.679,2,
3,0.316,0,0
1,0.059,2,
1,0.108,2,
2,0.046,1,0
1,0.003,0,1
1,0.485,0,0
6,0.003,2,
7,0.321,1,1
6,0.125,0,1
6,0.08,2,
5,0.47,2,
6,0,2,
6,0.949,1,1
5,0.1,2,
6,0.031,2,
5,0.03,2,
7,0.036,1,0
7,0.054,0,1
6,0.368,0,0
5,0.049,2,
5,0.13,0,1
6,0.409,0,0
4,0.47,2,
5,0.013,0,0
4,0.152,0,0
3,0.242,0,0
3,0.979,2,
4,0.865,1,0
4,0.171,0,1
3,0.949,1,0
3,0.36,1,0
3,0.311,0,1
3,1.771,0,0
3,0.225,1,1
2,0.01,1,0
2,0.333,2,
1,0.183,2,
1,0.242,1,0
1,0.046,1,0
1,0.019,0,0
1,0.227,0,0
5,0.136,1,0
7,0.3,0,0
5,0.005,2,
6,0.025,2,
8,0.083,0,0
4,0.166,2,
5,0.044,1,0
6,0.01,0,0
4,0.071,2,
4,0.24,1,0
5,0.057,1,0
4,0.207,2,
4,0.013,0,1
4,0.975,1,0
3,0.19,1,0
4,0.323,2,
4,0,0,0
4,0.188,0,0
4,0.094,0,0
2,0.171,2,
2,0,2,
2,0.389,1,0
